title,category,secondary_category,source,rule_id,confidence,original_category,needs_review,review_notes,notes,is_health,uc_cto,uc_cto_name,uc_academic_group,family,level,successor_title,next_title,n_all,n_2025,n_2020,n_2010,first_year,last_year,avg_gross_all,avg_gross_2025
LRNG SKLS CNSLR,Staff - Professional & Supervisory,Student Services,claude,P-ROLE,high,,,,,N,,,,LRNG SKLS CNSLR,1,,,675,0,7,0,2012,2024,12906.0,
APPLICATIONS PRG SUPV 2,Staff - Professional & Supervisory,Information Technology,claude,P-SUPV,high,Staff,,,,N,,,,APPLICATIONS PRG SUPV,2,,,673,76,63,0,2012,2025,123742.0,147788.0
BLANK AST 2 PD,Staff - Support & Operations,"Administration, Analysis & Clerical",claude,O-ROLE,high,Staff,,,,N,,,,BLANK AST,2,,BLANK AST 3 PD,673,118,59,0,2012,2025,19098.0,23970.0
EMPLOYMENT REPR 2,Staff - Professional & Supervisory,"Finance, HR, Purchasing & Business Services",claude,P-ROLE,high,Staff,,,,N,,,,EMPLOYMENT REPR,2,,EMPLOYMENT REPR 3,672,85,55,0,2012,2025,54422.0,74689.0
ACCOUNTANT 3,Staff - Professional & Supervisory,"Finance, HR, Purchasing & Business Services",claude,P-ROLE,high,,,,,N,,,,GEN ACCOUNTANT,3,GEN ACCOUNTANT 3,ACCOUNTANT 4,671,0,40,0,2012,2023,65277.0,
REVENUE CYCLE HC ANL 2,Health Care (Med Center & Clinical),"Health Administration, Billing & Records",claude,H02,high,,,,,Y,,,,REVENUE CYCLE HC ANL,2,,REVENUE CYCLE HC ANL 3,671,107,68,0,2016,2025,75387.0,86019.0
BIOINFORMATICS PROGR 4,Staff - Professional & Supervisory,Information Technology,claude,P-ROLE,high,Staff,,,,N,,,,BIOINFORMATICS PROGR,4,,BIOINFORMATICS PROGR 5,665,27,73,0,2015,2025,115465.0,121518.0
HS CLINICAL INSTRUCTOR-HCOMP,Non-Senate Faculty,Health Sciences Clinical Professor / Instructor,claude,F05,high,,,,,Y,,,,HS CLIN PROF-HCOMP,0,HS CLIN INSTR-HCOMP,,664,0,0,253,2010,2011,73639.0,
ASSOC IN ____-AY-GSHIP,Student Instruction,Associate In (graduate student instructor),claude,G03,high,Student Instruction,,,,N,467,ASSOCIATE-STUDENT,Student Teaching/Research Assistants,ASSOC IN ____-AY-GSHIP,1,,,662,3,145,0,2012,2025,19876.0,7617.0
STDT RESEARCHER WORK STUDY,Student Research,Graduate Student Researcher,claude,G04,high,,,,,N,,,,STDT RESEARCHER,1,,,662,0,0,0,2013,2016,2079.0,
STDT SVC MGR 1,Staff - Management,Student Services,claude,M-ROLE,high,Acad Staff,,,,N,,,,STDT SVC MGR,1,,STDT SVC MGR 2,660,97,40,0,2012,2025,109762.0,127133.0
DEV ENGR AST,Staff - Professional & Supervisory,Research Support (staff),claude,P-ROLE,high,,,,,N,,,,RSCH AND DEV ENGR,2,RSCH AND DEV ENGR 2,,659,0,23,0,2012,2021,45866.0,
COLLECTIONS REPR,Health Care (Med Center & Clinical),"Health Administration, Billing & Records",claude,H02,high,,,,,Y,,,,COLL REPR,1,COLL REPR,COLLECTIONS REPR SR,658,0,0,0,2012,2015,41325.0,
FAC SUPV 1,Staff - Professional & Supervisory,"Facilities, Trades, Grounds & Logistics",claude,P-SUPV,high,Staff,,,,N,,,,FAC SUPV,1,,FAC SUPV 2,657,72,48,0,2012,2025,76733.0,95514.0
FINANCIAL ANL SUPV 2,Staff - Professional & Supervisory,"Finance, HR, Purchasing & Business Services",claude,P-ROLE,high,Staff,,,,N,,,,FINANCIAL ANL SUPV,2,,,655,101,47,0,2012,2025,113658.0,135674.0
PAT NAVGTR NON-CLIN 2,Health Care (Med Center & Clinical),"Health Administration, Billing & Records",claude,H02,high,,,,,Y,,,,PAT NAVGTR NON-CLIN,2,,PAT NAVGTR NON-CLIN 3,655,0,87,0,2017,2024,48695.0,
PRODUCER DIR SR,Staff - Management,"Development, Communications & Events",claude,M-ROLE,high,Staff,,,,N,,,,PRODUCER DIR,2,,,651,40,54,0,2012,2025,51430.0,77036.0
BIOINFORMATICS PROGR 3,Staff - Professional & Supervisory,Information Technology,claude,P-ROLE,high,Staff,,,,N,,,,BIOINFORMATICS PROGR,3,,BIOINFORMATICS PROGR 4,649,32,62,0,2015,2025,86974.0,87381.0
HOSPITAL UNIT SERV COORD III,Health Care (Med Center & Clinical),"Health Administration, Billing & Records",claude,H02,high,,,,,Y,,,,HOSP UNIT SVC CRD,3,HOSP UNIT SVC CRD 3,,647,0,0,310,2010,2011,39302.0,
IT SCRTY ANL 4,Staff - Professional & Supervisory,"Police, Security & Safety",claude,P-ROLE,high,Staff,,,,N,,,,IT SCRTY ANL,4,,IT SCRTY ANL 5,646,92,57,0,2016,2025,128764.0,158351.0
K to 14 ACAD PREP SPEC 3,Staff - Professional & Supervisory,Student Services,claude,P-ROLE,high,Staff,,,,N,,,,K TO 14 ACAD PREP SPEC,3,,K to 14 ACAD PREP SPEC 4,644,0,111,0,2012,2020,46316.0,
DEPARTMENT CHAIR,Academic Administration,Department Chair,claude,D05,high,,,,,N,S61,DEPARTMENT CHAIRPERSON,Other Academic Employees,DEPARTMENT CHAIR,1,,,643,8,3,0,2012,2025,270315.0,70704.0
DIETITIAN SR,Health Care (Med Center & Clinical),Allied Health & Clinical Technical,claude,H02,high,,,,,Y,,,,DIETITIAN,2,,,643,73,49,0,2012,2025,92454.0,109299.0
AMBUL CARE ADMSTN CRD 2,Health Care (Med Center & Clinical),"Health Administration, Billing & Records",claude,H02,high,Med Center,,,,Y,,,,AMBUL CARE ADMSTN CRD,2,,AMBUL CARE ADMSTN CRD 3,641,0,94,0,2016,2024,59762.0,
FINANCIAL AID OFCR 2,Staff - Professional & Supervisory,Student Services,claude,P-ROLE,high,Staff,,,,N,,,,FINANCIAL AID OFCR,2,,FINANCIAL AID OFCR 3,641,76,41,0,2012,2025,46489.0,54987.0
VISUAL COMM SPEC 4,Staff - Professional & Supervisory,"Development, Communications & Events",claude,P-ROLE,high,Staff,,,,N,,,,VISUAL COMM SPEC,4,,,640,69,51,0,2012,2025,77044.0,99827.0
CLIN NURSE OR ADV PRACT SPEC 4,Health Care (Med Center & Clinical),Nursing,claude,H02,high,Med Center,,,,Y,,,,CLIN NURSE OR ADV PRACT SPEC,4,,CLIN NURSE OR ADV PRACT SPEC 5,639,91,77,0,2016,2025,165277.0,200743.0
DIETITIAN PD,Health Care (Med Center & Clinical),Allied Health & Clinical Technical,claude,H02,high,,,,,Y,,,,DIETITIAN,1,,DIETITIAN 2,638,61,41,0,2012,2025,29211.0,36770.0
ORGANIZATIONAL CNSLT 3,Staff - Professional & Supervisory,"Finance, HR, Purchasing & Business Services",claude,P-ROLE,high,Staff,,,,N,,,,ORGANIZATIONAL CNSLT,3,,ORGANIZATIONAL CNSLT 4,638,101,46,0,2012,2025,81743.0,101444.0
PROGR 4,Staff - Professional & Supervisory,Information Technology,claude,P-ROLE,high,,,,,N,,,,PROGR,4,,PROGR 5,638,0,0,0,2012,2018,70204.0,
RADLG SVC SUPV 2,Health Care (Med Center & Clinical),Allied Health & Clinical Technical,claude,H02,high,,,,,Y,,,,RADLG SVC SUPV,2,,,638,109,57,0,2016,2025,175420.0,209030.0
CLIN NURSE EDUC 3,Health Care (Med Center & Clinical),Nursing,claude,H02,high,Med Center,,,,Y,,,,CLIN NURSE EDUC,3,,CLIN NURSE EDUC 4,637,115,67,0,2017,2025,69097.0,93937.0
STDT LIFE DEVT SUPV 2,Staff - Professional & Supervisory,Student Services,claude,P-SUPV,high,Acad Staff,,,,N,,,,STDT LIFE DEVT SUPV,2,,,635,86,60,0,2012,2025,77657.0,89556.0
SYS ADM 2,Staff - Professional & Supervisory,Information Technology,claude,P-ROLE,high,Staff,,,,N,,,,SYS ADM,2,,SYS ADM 3,634,0,74,0,2012,2023,64967.0,
"ANALYST, ADMINISTRATIVE, ASST",Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,,,,,N,,,,ADMIN ANL,0,ADMIN ANL AST,"ANALYST, ADMINISTRATIVE",633,0,0,310,2010,2011,36349.0,
"TECHNICIAN, HOSPITAL LAB, I",Health Care (Med Center & Clinical),Allied Health & Clinical Technical,claude,H02,high,,,,,Y,,,,HOSP LAB TCHN,1,HOSP LAB TCHN 1,"TECHNICIAN, HOSPITAL LAB, II",632,0,0,326,2010,2011,45251.0,
PERSONNEL ANL,Staff - Professional & Supervisory,"Finance, HR, Purchasing & Business Services",claude,P-ROLE,high,,,,,N,,,,PERSONNEL ANL,1,,PERSONNEL ANL SR,631,0,47,0,2012,2022,51260.0,
STDT ACAD ADVISOR 4,Staff - Professional & Supervisory,Student Services,claude,P-ROLE,high,Acad Staff,,,,N,,,,STDT ACAD ADVISOR,4,,,629,20,50,0,2012,2025,76497.0,92010.0
SURGICAL TCHN PRN,Health Care (Med Center & Clinical),Allied Health & Clinical Technical,claude,H02,high,,,,,Y,,,,SURGICAL TCHN,3,,,628,88,43,0,2012,2025,106084.0,121333.0
STDT RESEARCHER WKSTY,Student Research,Graduate Student Researcher,claude,G04,high,Students,,,,N,,,,STDT RESEARCHER,1,,,626,1,105,0,2017,2025,2268.0,28.0
CAMP CNSLR L3,Staff - Support & Operations,"Recreation, Child Care & Camps",claude,P03,high,,,,Mostly part-time / seasonal,N,,,,CAMP CNSLR L3,1,,,625,70,17,0,2018,2025,2288.0,3239.0
NURSE CRD,Health Care (Med Center & Clinical),Nursing,claude,H02,high,Med Center,,,,Y,,,,NURSE CRD,1,,,625,104,41,0,2012,2025,204760.0,241498.0
TCHN PRN,Staff - Support & Operations,"Administration, Analysis & Clerical",claude,O-ROLE,high,Staff,,,,N,,,,TCHN,3,,,624,39,48,0,2013,2025,56366.0,75221.0
"NURSE, ADMINISTRATIVE II",Health Care (Med Center & Clinical),Nursing,claude,H02,high,,,,,Y,,,,ADMIN NURSE,2,ADMIN NURSE 2 NEX,,622,0,0,306,2010,2011,118503.0,
PAT BILL AND COLL REPR 3,Health Care (Med Center & Clinical),"Health Administration, Billing & Records",claude,H02,high,,,,,Y,,,,PAT BILL AND COLL REPR,3,,PAT BILL AND COLL REPR 4,622,84,68,0,2016,2025,71689.0,86971.0
DATABASE ADM 4,Staff - Professional & Supervisory,Information Technology,claude,P-ROLE,high,Staff,,,,N,,,,DATABASE ADM,4,,DATABASE ADM 5,621,67,44,0,2012,2025,119284.0,156446.0
EHS SPEC 1 EX,Staff - Professional & Supervisory,"Police, Security & Safety",claude,P-ROLE,high,,,,,N,,,,EHS SPEC,3,EHS SPEC 3,EHS SPEC 2 EX,621,0,31,0,2012,2023,50580.0,
ULTRASOUND TCHNO SR PD,Health Care (Med Center & Clinical),Allied Health & Clinical Technical,claude,H02,high,,,,,Y,,,,ULTRASOUND TCHNO,2,,ULTRASOUND TCHNO PRN,621,66,45,0,2012,2025,28762.0,30612.0
COMMUNITY HEALTH PROGRAM REP,Staff - Support & Operations,"Administration, Analysis & Clerical",claude,O-ROLE,medium,,,,,N,,,,CMTY HEALTH PRG REPR,1,CMTY HEALTH PRG REPR,,619,0,0,298,2010,2011,20410.0,
FOOD SVC MGR 1,Staff - Management,"Custodial, Food, Housing & Hospitality",claude,M-ROLE,high,Staff,,,,N,,,,FOOD SVC MGR,1,,FOOD SVC MGR 2,619,69,57,0,2012,2025,78497.0,96563.0
STDT CLIN,Students,Student Employee (other),claude,G06,high,,,,,Y,,,,STDT CLIN,1,,,619,275,18,0,2013,2025,5838.0,5849.0
ACAD PRG MGR 1,Staff - Management,Student Services,claude,M-ROLE,high,Acad Staff,,,,N,,,,ACAD PRG MGR,1,,ACAD PRG MGR 2,618,114,49,0,2015,2025,151071.0,163554.0
MED CTR FOOD SVC WORKER PRN PD,Health Care (Med Center & Clinical),Hospital Support & Patient Services,claude,H02,high,Med Center,,,,Y,,,,MED CTR FOOD SVC WORKER,3,,,618,117,24,0,2012,2025,23563.0,26766.0
SPECIALIST (FUNCTIONAL AREA),Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,X-SUCCESSOR,medium,,,,inherited from successor title 'SPEC' (P05),N,,,,SPEC,1,SPEC,,618,0,0,292,2010,2011,84762.0,
STATISTICIAN SR,Staff - Professional & Supervisory,Research Support (staff),claude,P-ROLE,high,,,,,N,,,,STATISTICIAN,2,,STATISTICIAN PRN,618,2,26,0,2012,2025,63403.0,1581.0
STDT SVC SUPV 2,Staff - Professional & Supervisory,Student Services,claude,P-SUPV,high,Acad Staff,,,,N,,,,STDT SVC SUPV,2,,,616,82,46,0,2012,2025,81693.0,95330.0
ANL 7,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,,,,,N,,,,ANL,7,,ANL 8,615,0,0,0,2012,2018,86395.0,
BUS TCHL SUPP SUPV 2,Staff - Professional & Supervisory,Information Technology,claude,P-SUPV,high,Staff,,,,N,,,,BUS TCHL SUPP SUPV,2,,,615,71,44,0,2012,2025,105836.0,126284.0
LAB MECHN PRN,Staff - Support & Operations,Research Support (staff),claude,O-ROLE,high,Research Staff,,,,N,,,,LAB MECHN,3,,,615,32,41,0,2012,2025,71878.0,94582.0
STDT SVC ADVISOR 1,Staff - Professional & Supervisory,Student Services,claude,P-ROLE,high,Acad Staff,,,,N,,,,STDT SVC ADVISOR,1,,STDT SVC ADVISOR 2,614,76,42,0,2012,2025,24150.0,22636.0
RESEARCH _____ - FISCAL YEAR,Academic Research,Professional Researcher,claude,R03,high,,,,Professional Research series (CTO 541-543),N,,,,RES-FY,3,RES-FY,,613,0,0,302,2010,2011,96850.0,
GROUNDS EQUIP OPR,Staff - Support & Operations,"Facilities, Trades, Grounds & Logistics",claude,O-ROLE,high,,,,,N,,,,GROUNDS EQUIP OPR,1,,,612,49,40,0,2012,2025,45832.0,58926.0
"PARTNER, CLINICAL CARE",Health Care (Med Center & Clinical),Hospital Support & Patient Services,claude,H02,high,,,,,Y,,,,CLIN CARE PARTNER,1,CLIN CARE PARTNER,,612,0,0,294,2010,2011,39604.0,
SPEAKER-UNEX,Other Academic,University Extension (UNEX) teacher / staff,claude,A05,high,,,,"CTO 828; by-agreement Extension instructors, not Unit 18",N,828,UNIVERSITY EXTENSION-OTHER,Other Academic Employees,SPEAKER-UNEX,1,,,612,38,48,0,2012,2025,7024.0,779.0
ACCOUNTANT 2 EX,Staff - Professional & Supervisory,"Finance, HR, Purchasing & Business Services",claude,P-ROLE,high,,,,,N,,,,ACCOUNTANT,2,,ACCOUNTANT 3,611,0,47,0,2012,2023,55704.0,
RECR COACH 3,Athletics,Recreation Coach,claude,T02,high,Athletics,,,,N,,,,RECR COACH,3,,,611,117,44,0,2016,2025,18799.0,16012.0
OPS ROOM SUPP AST,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,,,,,N,,,,OPS ROOM SUPP,0,,,610,79,61,0,2016,2025,71457.0,85461.0
FINANCIAL SVC SUPV 1,Staff - Professional & Supervisory,"Finance, HR, Purchasing & Business Services",claude,P-SUPV,high,Staff,,,,N,,,,FINANCIAL SVC SUPV,1,,FINANCIAL SVC SUPV 2,609,75,51,0,2012,2025,74922.0,90384.0
STDT 3 NON UC,Students,Student Assistant,claude,G05,high,Students,,,,N,,,,STDT,3,,,607,92,27,0,2012,2025,4127.0,5259.0
EXEC AST 3 CX,Staff - Support & Operations,"Administration, Analysis & Clerical",claude,O-ROLE,high,,,,,N,,,,EXEC AST,3,,,604,346,0,0,2024,2025,84721.0,87073.0
MANAGEMENT SERVICES OFFICER I,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,,,,,N,,,,MGT SVC OFCR,1,MGT SVC OFCR 1,MANAGEMENT SERVICES OFFICER II,602,0,0,309,2010,2011,48488.0,
PROGRAM REPRESENTATIVE III,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,,,,,N,,,,PRG REPR,3,PRG REPR 3,,602,0,0,299,2010,2011,41323.0,
"NURSE, CLINICAL I",Health Care (Med Center & Clinical),Nursing,claude,H02,high,,,,,Y,,,,CLIN NURSE,2,CLIN NURSE 2,"NURSE, CLINICAL II",601,0,0,290,2010,2011,29958.0,
POLICE SERGEANT,Staff - Professional & Supervisory,"Police, Security & Safety",claude,P-SUPV,high,,,,,N,,,,POLICE SERGEANT SUPV,2,POLICE SERGEANT SUPV 2,,601,0,19,76,2010,2021,126491.0,
PR ADMINISTRATIVE ANALYST II,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,,,,,N,,,,ADMIN ANL PRN,2,ADMIN ANL PRN 2,,601,0,0,293,2010,2011,81671.0,
K TO 12 EDUCATOR 2,Staff - Professional & Supervisory,Student Services,claude,P-ROLE,high,,,,,N,,,,K TO 12 EDUCATOR,2,,K TO 12 EDUCATOR 3,598,18,28,0,2016,2025,4778.0,5591.0
PRG PROMOTION MGR 1,Staff - Management,"Administration, Analysis & Clerical",claude,M-ROLE,high,,,,,N,,,,PRG PROMOTION MGR,1,,PRG PROMOTION MGR 2,598,0,79,0,2012,2023,57473.0,
ATH PROFL 1 BYA,Athletics,"Athletics Staff (trainers, managers, professionals)",claude,T04,high,Athletics,,,,N,,,,ATH PROFL,1,,ATH PROFL 2 BYA,596,43,73,0,2017,2025,15084.0,17585.0
RAD THER TCHNO,Health Care (Med Center & Clinical),Allied Health & Clinical Technical,claude,H02,high,,,,,Y,,,,RAD THER TCHNO,1,,RAD THER TCHNO SR,595,61,49,0,2012,2025,115756.0,137406.0
FOOD SVC MGR AST SUPV,Staff - Management,"Custodial, Food, Housing & Hospitality",claude,M-ROLE,high,,,,,N,,,,FOOD SVC MGR AST SUPV,1,,,592,0,41,0,2012,2021,47152.0,
CMPTL AND DATA SCI RSCH SPEC 4,Staff - Professional & Supervisory,Information Technology,claude,P-ROLE,high,Staff,,,,N,,,,CMPTL AND DATA SCI RSCH SPEC,4,,CMPTL AND DATA SCI RSCH SPEC 5,591,20,73,0,2015,2025,106321.0,88347.0
HEALTH INFO CODER 3,Health Care (Med Center & Clinical),Health IT & Informatics,claude,H02,high,Med Center,,,,Y,,,,HEALTH INFO CODER,3,,HEALTH INFO CODER 4,591,112,41,0,2012,2025,96001.0,106351.0
FUNDRAISING MGR 1,Staff - Management,"Development, Communications & Events",claude,M-ROLE,high,Staff,,,,N,,,,FUNDRAISING MGR,1,,FUNDRAISING MGR 2,590,77,41,0,2012,2025,149530.0,182200.0
HS CLIN INSTR-FY,Non-Senate Faculty,Health Sciences Clinical Professor / Instructor,claude,F05,high,Non-Senate,,,,Y,341,HEALTH SCIENCES CLINICAL PROFESSOR,Faculty - Clinical/In-Residence/Adjunct,HS CLIN PROF-FY,0,,HS ASST CLIN PROF-FY,590,12,29,0,2012,2025,19563.0,58372.0
OPS ROOM AST 1,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,,,,,N,,,,OPS ROOM AST,1,,OPS ROOM AST 2,590,46,63,0,2016,2025,45610.0,48583.0
OPS ROOM AST 2,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,,,,,N,,,,OPS ROOM AST,2,,,589,98,46,0,2016,2025,52926.0,57126.0
COMM MGR 1,Staff - Management,"Development, Communications & Events",claude,M-ROLE,high,Staff,,,,N,,,,COMM MGR,1,,COMM MGR 2,586,81,47,0,2012,2025,128699.0,153694.0
EXEC ADVISOR 5,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,M04,high,Admin Staff,,,Executive advisor / chief of staff (MSP professional),N,,,,EXEC ADVISOR,5,,,586,91,43,0,2012,2025,180781.0,221634.0
APPLICATIONS PROGM MGR 1,Staff - Management,Information Technology,claude,M-ROLE,high,Staff,,,,N,,,,APPLICATIONS PROGM MGR,1,,APPLICATIONS PROGM MGR 2,585,55,43,0,2012,2025,149548.0,189386.0
DIETETIC AST,Staff - Support & Operations,"Administration, Analysis & Clerical",claude,O-ROLE,high,,,,,N,,,,DIETETIC,0,,,585,56,38,0,2012,2025,45605.0,62487.0
INTERN-CLINICAL PSYCHOLOGY,Health Care (Med Center & Clinical),Medical Intern / Resident,claude,H01,high,Staff,,,CTO 446,Y,446,INTERN OR RESIDENT,Medical Interns/Residents,INTERN-CLINICAL PSYCHOLOGY,1,,,582,1,85,0,2017,2025,18186.0,25000.0
LAB AST 4,Staff - Support & Operations,Research Support (staff),claude,O-ROLE,high,Research Staff,,,,N,,,,LAB AST,4,,,581,44,43,0,2012,2025,39677.0,55392.0
PUBL EDUC SPEC 1,Staff - Professional & Supervisory,Student Services,claude,P-ROLE,high,Staff,,,,N,,,,PUBL EDUC SPEC,1,,PUBL EDUC SPEC 2,579,69,24,0,2012,2025,18728.0,11187.0
"TECHNICIAN, HOSPITAL LAB, II",Health Care (Med Center & Clinical),Allied Health & Clinical Technical,claude,H02,high,,,,,Y,,,,HOSP LAB TCHN,2,HOSP LAB TCHN 2,"TECHNICIAN, HOSPITAL LAB, III",579,0,0,295,2010,2011,47694.0,
POLICE SERGEANT SUPV 2,Staff - Professional & Supervisory,"Police, Security & Safety",claude,P-SUPV,high,Staff,,,,N,,,,POLICE SERGEANT SUPV,2,,,578,4,53,0,2014,2025,172132.0,152822.0
VICE CHAN AST,Senior Management Group,Associate / Assistant Vice Chancellor or Vice President,claude,S03,medium,Admin,,,Campus AVC/AVPs are often MSP rather than SMG; UCOP Associate VPs are usually SMG. Split on secondary if needed.,N,,,,VICE CHAN,0,,,578,0,31,0,2012,2020,181975.0,
SYS OPR,Staff - Support & Operations,"Facilities, Trades, Grounds & Logistics",claude,O-ROLE,high,,,,,N,,,,SYS OPR,1,,,577,57,39,0,2012,2025,87147.0,103379.0
FAC MGR 1,Staff - Management,"Facilities, Trades, Grounds & Logistics",claude,M-ROLE,high,Staff,,,,N,,,,FAC MGR,1,,FAC MGR 2,576,78,41,0,2012,2025,126461.0,143288.0
FIN ANL SR,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,,,,,N,,,,FIN ANL,2,,,576,0,57,0,2012,2021,61226.0,
LIBRARIAN - CAREER STATUS,Other Academic,Librarian,claude,A01,high,,,,,N,,,,LIBRARIAN-CAREER STATUS,3,LIBRARIAN-CAREER STATUS,,575,0,0,282,2010,2011,82024.0,
SECURITY GUARD,Staff - Support & Operations,"Police, Security & Safety",claude,P01,high,,,,,N,,,,SCRTY GUARD,1,SCRTY GUARD,,575,0,0,103,2010,2015,33857.0,
IT SCRTY ANL 3,Staff - Professional & Supervisory,"Police, Security & Safety",claude,P-ROLE,high,Staff,,,,N,,,,IT SCRTY ANL,3,,IT SCRTY ANL 4,574,95,47,0,2016,2025,94177.0,113287.0
DENTAL AST,Health Care (Med Center & Clinical),Allied Health & Clinical Technical,claude,H02,high,,,,,Y,,,,DENTAL,0,,,573,29,46,0,2012,2025,35722.0,52573.0
ETHICS AND CMPLNC PROFL 3,Staff - Professional & Supervisory,Legal & Compliance,claude,P-ROLE,high,Staff,,,,N,,,,ETHICS AND CMPLNC PROFL,3,,ETHICS AND CMPLNC PROFL 4,573,99,39,0,2016,2025,86844.0,105200.0
STDT LIFE DEV MGR 1,Staff - Management,Student Services,claude,M-ROLE,high,Acad Staff,,,,N,,,,STDT LIFE DEV MGR,1,,STDT LIFE DEV MGR 2,573,68,51,0,2012,2025,102555.0,121392.0
PATIENT RCDS ABSTRACTOR 3,Health Care (Med Center & Clinical),"Health Administration, Billing & Records",claude,H02,high,,,,,Y,,,,PAT RCDS ABSTRACTOR,3,PAT RCDS ABSTRACTOR 3,PATIENT RCDS ABSTRACTOR 4,571,0,0,0,2012,2015,60013.0,
BUS INTEL SPEC 4,Staff - Professional & Supervisory,Information Technology,claude,P-ROLE,high,Staff,,,,N,,,,BUS INTEL SPEC,4,,,570,133,34,0,2017,2025,123712.0,140785.0
LABOR REL REPR 4,Staff - Professional & Supervisory,"Finance, HR, Purchasing & Business Services",claude,P-ROLE,high,Admin Staff,,,,N,,,,LABOR REL REPR,4,,LABOR REL REPR 5,570,64,40,0,2012,2025,105405.0,133102.0
MED CTR STOREKEEPER SR,Health Care (Med Center & Clinical),Hospital Support & Patient Services,claude,H02,high,Med Center,,,,Y,,,,MED CTR STOREKEEPER,2,,MED CTR STOREKEEPER LD,570,61,38,0,2012,2025,52000.0,65907.0
PUBL ADMSTN ANL PRN,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,,,,,N,,,,PUBL ADMSTN ANL,3,,,570,0,84,0,2016,2024,72693.0,
CERT PHLEBOTOMY TCHN 1,Health Care (Med Center & Clinical),Allied Health & Clinical Technical,claude,H02,high,,,,,Y,,,,CERT PHLEBOTOMY TCHN,1,,,568,199,0,0,2022,2025,47726.0,51838.0
ELECTROCARDIOGRAPH TCHN SR,Health Care (Med Center & Clinical),Allied Health & Clinical Technical,claude,H02,high,,,,,Y,,,,ELECTROCARDIOGRAPH TCHN,2,,,568,45,41,0,2012,2025,57599.0,67207.0
PUBLICATIONS PROD SPEC 2,Staff - Professional & Supervisory,"Development, Communications & Events",claude,P-ROLE,high,Staff,,,,N,,,,PUBLICATIONS PROD SPEC,2,,PUBLICATIONS PROD SPEC 3,568,67,41,0,2012,2025,42211.0,52571.0
ASSOC PROF-AY-BUS/ECON/ENG,Senate Faculty,Ladder Rank (Professor series),claude,F15,high,,,,,N,,,,PROF-AY-B/E/E,2,ASSOC PROF-AY-B/E/E,,567,0,0,269,2010,2011,144549.0,
PROF EMERITUS(WOS),Senate Faculty,Emeritus (without salary),claude,F01,high,Senate,,,WOS = without salary,N,016,PROFESSORIAL-EMERITUS,Other Academic Employees,PROF EMERITUS(WOS),3,,,566,5,29,0,2012,2025,27421.0,79514.0
CONTINUING EDUCATOR II,Lecturers (Unit 18),"Other Unit 18 instructional title (Teacher-Special Programs, Demo Teacher, Continuing Educator)",claude,L09,medium,Acad Staff,Y,,Listed in the UC-AFT Unit 18 recognition clause; verify against the current MOU,N,825,CONTINUING EDUCATOR -UNEX,Other Academic Employees,CONTINUING EDUCATOR,2,,CONTINUING EDUCATOR III,565,21,33,40,2010,2025,86340.0,100155.0
STDT CAMP PRG OFFSITE,Students,Student Employee (other),claude,G06,high,,,,,N,,,,STDT CAMP PRG OFFSITE,1,,,565,23,47,0,2014,2025,4418.0,8643.0
ASSISTANT PROF IN RES-HCOMP,Senate Faculty,Professor In Residence (Senate; health sciences),claude,F07,high,,,,Senate members per Standing Order 105.1(a); UC reporting groups them with clinical faculty (uc_academic_group),Y,,,,PROF IN RES-HCOMP,1,ASST PROF IN RES-HCOMP,ASSOCIATE PROF IN RES-HCOMP,563,0,0,283,2010,2011,163890.0,
BIOMED EQUIP TCHN 3,Health Care (Med Center & Clinical),Allied Health & Clinical Technical,claude,H02,high,Staff,,,,Y,,,,BIOMED EQUIP TCHN,3,,BIOMED EQUIP TCHN 4,563,49,42,0,2012,2025,122329.0,142519.0
DENTAL HYGIENIST,Health Care (Med Center & Clinical),Allied Health & Clinical Technical,claude,H02,high,,,,,Y,,,,DENTAL HYGIENIST,1,,,563,20,38,49,2010,2025,53790.0,104274.0
"PHARMACIST, STAFF II",Health Care (Med Center & Clinical),Allied Health & Clinical Technical,claude,H02,high,,,,,Y,,,,STAFF PHARMACIST,2,STAFF PHARMACIST 2,,563,0,0,270,2010,2011,125398.0,
PROFESSOR-FISCAL YR-RECALLED,Senate Faculty,Recall (retired faculty),claude,F03,high,,,,,N,012,PROFESSORIAL-RECALL,Faculty - Ladder-rank and Equivalent,PROFESSOR-FISCAL YR-RECALLED,3,,,563,0,0,130,2010,2019,54897.0,
