from_title,to_title,relation,confidence,n_moves,share_of_moves,years,from_last_year,to_first_year,from_family,from_level,to_family,to_level,source
DIRECTOR,PROF-AY-B/E/E,other,low,38,0.2,2013|2015|2016|2017|2019|2020|2021|2025,2025,2012,DIRECTOR,1,PROF-AY-B/E/E,3,claude
PARKING REPRESENTATIVE,PARKING REPR,rename,high,38,0.905,2012,2011,2012,PARKING REPRESENTATIVE,1,PARKING REPR,1,claude
"PUBLIC EVENTS MANAGER, SR",PUBL EVENTS MGR SR,rename,high,38,0.864,2012,2011,2012,PUBLIC EVENTS MANAGER,2,PUBL EVENTS MGR,2,claude
RES ---- - RECALLED,RECALL NON-FACULTY ACAD,other,low,38,0.409,2013|2014|2015,2015,2013,RES ---- - RECALLED,3,RECALL NON-FACULTY ACAD,1,claude
RESEARCH ADMINISTRATOR 2,RSCH ADM 2,rename,high,38,0.559,2012,2011,2012,RESEARCH ADMINISTRATOR,2,RSCH ADM,2,claude
SCENE TCHN PD,SCENE TCHN SR PD,promotion,high,38,0.905,2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,SCENE TCHN,1,SCENE TCHN,2,claude
SR. LECTURER-AY-CONTINUING,SR LECT-AY-CONTINUING,rename,high,38,0.864,2012,2011,2012,SR. LECTURER-AY-CONTINUING,1,LECT-AY,3,claude
SRA 3 SUPV,LAB RSCH SUPV 1,other,low,38,0.216,2015|2016|2017|2018|2019|2021|2023|2024,2023,2012,SRA SUPV,3,LAB RSCH SUPV,1,claude
STDT LIFE DEV SPEC 2,STDT LIFE DEV SPEC 3,promotion,high,38,0.345,2016|2017|2019|2020|2021|2022|2023|2024|2025,2025,2012,STDT LIFE DEV SPEC,2,STDT LIFE DEV SPEC,3,claude
"TECHNICIAN, EMERG TRAUMA, SR",EMERGENCY TRAUMA TCHN SR,rename,high,38,0.731,2012,2011,2012,"TECHNICIAN, EMERG TRAUMA",2,EMERGENCY TRAUMA TCHN,2,claude
ADV OFCR 2,FUNDRAISER 3,rename,high,37,0.544,2021|2022|2023|2024,2023,2010,ADV OFCR,2,FUNDRAISER,3,claude
AMBUL CARE ADMSTN MGR 1,AMBUL CARE ADMSTN MGR 2,promotion,high,37,0.481,2017|2018|2019|2021|2022|2023|2024|2025,2025,2016,AMBUL CARE ADMSTN MGR,1,AMBUL CARE ADMSTN MGR,2,claude
ASST PROF-SFT-VM,ASSOC PROF-SFT-VM,promotion,high,37,0.771,2014|2015|2016|2019|2021|2022|2023|2024|2025,2025,2012,PROF-SFT-VM,1,PROF-SFT-VM,2,claude
ASST PROFESSOR - FISCAL YEAR,ASST PROF-FY,rename,high,37,0.725,2012,2011,2012,PROFESSOR - FISCAL YEAR,1,PROF-FY,1,claude
BUYER 3,PROCUREMENT ANL 3,rename,high,37,0.552,2014|2015|2016|2017|2019|2021|2022,2021,2014,BUYER,3,PROCUREMENT ANL,3,claude
CMTY HEALTH PRG REPR,CMTY HEALTH PRG REPR SR,promotion,medium,37,0.11,2013|2014|2015|2016|2017|2018|2020|2021|2022,2025,2012,CMTY HEALTH PRG REPR,1,CMTY HEALTH PRG REPR,2,claude
"COUNSELOR, LEARNING SKILLS",LRNG SKLS CNSLR,rename,high,37,0.804,2012,2011,2012,"COUNSELOR, LEARNING SKILLS",1,LRNG SKLS CNSLR,1,claude
EHS SPEC 1 EX,EHS SPEC 2 EX,promotion,high,37,0.298,2013|2014|2015|2016|2017|2019|2020,2023,2012,EHS SPEC,1,EHS SPEC,2,claude
EMPLOYMENT REPR 2,EMPLOYMENT REPR 3,promotion,high,37,0.514,2013|2014|2016|2017|2019|2020|2021|2022|2023|2024|2025,2025,2012,EMPLOYMENT REPR,2,EMPLOYMENT REPR,3,claude
FINANCIAL AID OFCR 2,FINANCIAL AID OFCR 3,promotion,high,37,0.394,2013|2016|2019|2020|2021|2022|2023|2024,2025,2012,FINANCIAL AID OFCR,2,FINANCIAL AID OFCR,3,claude
FOOD SVC MGR AST SUPV,FOOD SVC MGR,other,low,37,0.319,2013|2014|2015|2016|2017|2018|2019|2020,2021,2012,FOOD SVC MGR AST SUPV,1,FOOD SVC MGR,1,claude
HISTO TCHNO 2,HISTO TCHNO 3,promotion,high,37,0.755,2013|2014|2015|2016|2017|2018|2021|2022|2023|2024|2025,2025,2012,HISTO TCHNO,2,HISTO TCHNO,3,claude
LECTURER IN SUMMER SESSION,LECTURER - ACADEMIC YEAR - 1/9,other,low,37,0.118,2011,2011,2010,LECTURER IN SUMMER SESSION,1,LECTURER - ACADEMIC YEAR - 1/9,1,claude
MARKETING SPEC 2,MARKETING SPEC 3,promotion,high,37,0.378,2014|2016|2017|2019|2020|2021|2022|2023|2024|2025,2025,2012,MARKETING SPEC,2,MARKETING SPEC,3,claude
MEDICAL INTERPRETER I,MED INTERPRETER 1,rename,high,37,0.949,2012,2011,2012,MEDICAL INTERPRETER,1,MED INTERPRETER,1,claude
NURSE PRACTITIONER-PER DIEM,NURSE PRACTITIONER PD,rename,high,37,0.787,2012,2011,2012,NURSE PRACTITIONER-PER DIEM,1,NURSE PRACTITIONER,1,claude
PHARMACIST SPECIALIST,PHARMACIST SPEC,rename,high,37,0.86,2012,2011,2012,PHARMACIST SPECIALIST,1,PHARMACIST SPEC,1,claude
PHLEBOTOMIST CERT TCHN 2 PD,PHLEBOTOMIST CERT TCHN 2,variant,high,37,0.451,2014|2015|2016|2017|2018|2019|2020|2021,2021,2012,PHLEBOTOMIST CERT TCHN,2,PHLEBOTOMIST CERT TCHN,2,claude
PRINCIPAL TECHNICIAN,TCHN PRN,rename,high,37,0.841,2013,2012,2013,PRINCIPAL TECHNICIAN,1,TCHN,3,claude
PROFESSOR RECALLED-ACAD YR-1/9,PROF EMERITUS(WOS),other,low,37,0.308,2012,2018,2012,PROFESSOR RECALLED-ACAD YR-1/9,3,PROF EMERITUS(WOS),3,claude
PROGRAMMER ANALYST IV - UCOP,PROGR ANL 4 UCOP,rename,high,37,0.925,2012,2011,2012,PROGRAMMER ANALYST IV - UCOP,1,PROGR ANL 4 UCOP,1,claude
PROJ SCIENTIST-FY,PROJ SCIENTIST-FY NEX,variant,high,37,0.207,2016|2017|2020|2021|2022|2024|2025,2025,2016,PROJ SCIENTIST-FY,3,PROJ SCIENTIST-FY,3,claude
SPECIALIST,SPECIALIST NON REP,variant,high,37,0.077,2019|2020|2021|2022|2023|2024|2025,2025,2019,SPECIALIST,3,SPECIALIST,3,claude
STDT AFFAIRS OFCR 3,STDT AFFAIRS OFCR 3 EX,variant,high,37,0.649,2013|2014|2015|2016,2017,2012,STDT AFFAIRS OFCR,3,STDT AFFAIRS OFCR,3,claude
STDT DISABILITY SPEC 3,STDT DISABILITY SPEC 3 SV,variant,high,37,0.587,2025,2025,2025,STDT DISABILITY SPEC,3,STDT DISABILITY SPEC,3,claude
SYSTEMS OPERATOR,SYS OPR,rename,high,37,0.925,2012,2011,2012,SYSTEMS OPERATOR,1,SYS OPR,1,claude
ACCOUNTANT IV,ACCOUNTANT 4,rename,high,36,0.818,2012,2011,2012,ACCOUNTANT,4,ACCOUNTANT,4,claude
ADMIN SUPV 1,ADMIN SUPV 2,promotion,high,36,0.265,2014|2016|2017|2019|2020|2021|2022|2023|2024|2025,2025,2012,ADMIN SUPV,1,ADMIN SUPV,2,claude
ADMISSIONS/RECRUITMENT SPEC 3,ADMISSIONS RECRMT SPEC 3,rename,high,36,0.818,2012,2011,2012,ADMISSIONS/RECRUITMENT SPEC,3,ADMISSIONS RECRMT SPEC,3,claude
ANALYST I-SUPERVISOR,ANL 1 SUPV,rename,medium,36,0.493,2012,2011,2012,ANALYST-SUPERVISOR,1,ANL SUPV,1,claude
ASSOC RES-FY,ASSOC RES-FY NEX,variant,high,36,0.103,2016|2017|2019|2020|2021|2022|2024|2025,2025,2016,RES-FY,2,RES-FY,2,claude
BLANK AST 3 SUPV,AMBUL CARE ADMSTN SUPV 1,other,low,36,0.12,2016|2018|2019|2022|2023|2024,2024,2016,BLANK AST SUPV,3,AMBUL CARE ADMSTN SUPV,1,claude
DEPARTMENT CHAIR,PROF-AY-B/E/E,other,low,36,0.16,2017|2019|2020,2025,2012,DEPARTMENT CHAIR,1,PROF-AY-B/E/E,3,claude
"ENGINEER, SERVICE",SVC ENGR,rename,high,36,0.973,2012,2011,2012,"ENGINEER, SERVICE",1,SVC ENGR,1,claude
FINANCIAL ANALYST 3,FINANCIAL ANL 3,rename,high,36,0.735,2012,2011,2012,FINANCIAL ANALYST,3,FINANCIAL ANL,3,claude
FINANCIAL SVC ANL 3,FINANCIAL SVC ANL 4,promotion,medium,36,0.085,2015|2016|2017|2019|2022|2023|2024|2025,2025,2012,FINANCIAL SVC ANL,3,FINANCIAL SVC ANL,4,claude
GROUNDS EQUIPMENT OPERATOR,GROUNDS EQUIP OPR,rename,high,36,0.923,2012,2011,2012,GROUNDS EQUIPMENT OPERATOR,1,GROUNDS EQUIP OPR,1,claude
"LABORER/GRDNR (B), PHSCL PLANT",PHYS PLT LABORER GARDENER B,rename,high,36,0.837,2012,2011,2012,"LABORER/GRDNR (B), PHSCL PLANT",1,PHYS PLT LABORER GARDENER B,1,claude
MEDICAL RECORD ASSISTANT,MED RCDS AST,rename,high,36,0.857,2012,2011,2012,MEDICAL RECORD ASSISTANT,1,MED RCDS,0,claude
PAT CARE AST PD,PAT CARE AST,variant,high,36,0.387,2017|2018|2019|2021|2022|2023|2024|2025,2025,2016,PAT CARE,0,PAT CARE,0,claude
PAT COMM REPR,ADMIN SPEC,other,low,36,0.139,2017|2018|2019|2020|2021|2022|2023,2025,2012,PAT COMM REPR,1,ADMIN SPEC,1,claude
PAT COMM REPR,BLANK AST 2,other,low,36,0.139,2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,PAT COMM REPR,1,BLANK AST,2,claude
PAT TRANSPORT TCHN 1,PAT TRANSPORT TCHN 2,promotion,high,36,0.667,2023|2024|2025,2025,2016,PAT TRANSPORT TCHN,1,PAT TRANSPORT TCHN,2,claude
PHLEBOTOMIST CERT 1 PD,PHLEBOTOMIST CERT TCHN 2,other,low,36,0.493,2014|2015|2016|2017|2018|2019|2021,2021,2012,PHLEBOTOMIST CERT,1,PHLEBOTOMIST CERT TCHN,2,claude
PRACTICE CRD 1,PRACTICE CRD 2,promotion,high,36,0.404,2017|2018|2019|2021|2022|2023|2024|2025,2025,2016,PRACTICE CRD,1,PRACTICE CRD,2,claude
PRACTICE CRD 3,AMBUL CARE ADMSTN SUPV 1,other,low,36,0.128,2017|2018|2019|2021|2022|2023|2024|2025,2025,2016,PRACTICE CRD,3,AMBUL CARE ADMSTN SUPV,1,claude
PROFESSOR-ACAD YR-RECALLED,PROF EMERITUS(WOS),other,low,36,0.293,2012,2018,2012,PROFESSOR-ACAD YR-RECALLED,3,PROF EMERITUS(WOS),3,claude
PROGRAMMER/ANALYST I,PROGRAMMER/ANALYST II,promotion,medium,36,0.099,2011,2011,2010,PROGRAMMER/ANALYST,1,PROGRAMMER/ANALYST,2,claude
RSCH ADM 1,RSCH ADM 2,promotion,high,36,0.48,2016|2017|2018|2019|2020|2021|2022,2023,2012,RSCH ADM,1,RSCH ADM,2,claude
RSCH ADM 2 CX,RSCH ADM 3 RP,promotion,high,36,0.248,2025,2025,2025,RSCH ADM,2,RSCH ADM,3,claude
"SCIENTIST, MUSEUM, ASST",MUSEUM SCI AST,rename,high,36,0.923,2012,2011,2012,"SCIENTIST, MUSEUM",0,MUSEUM SCI,0,claude
SENIOR FINANCE ANALYST,FIN ANL SR,rename,high,36,0.75,2012,2011,2012,SENIOR FINANCE ANALYST,1,FIN ANL,2,claude
TCHN 2,TCHN 3,promotion,high,36,0.356,2014|2015,2015,2013,TCHN,2,TCHN,3,claude
"TECHNICIAN, HOSP LAB,III-SUPVR",HOSP LAB TCHN 3 SUPV,rename,high,36,0.766,2012,2011,2012,"TECHNICIAN, HOSP LAB-SUPVR",3,HOSP LAB TCHN SUPV,3,claude
TRANSPLANT CRD 1,TRANSPLANT CRD 2,promotion,high,36,0.783,2013|2015|2016|2017|2019|2021|2022|2023|2024,2025,2012,TRANSPLANT CRD,1,TRANSPLANT CRD,2,claude
USER EXP DESIGNER 3,USER EXP DESIGNER 3 TX,variant,high,36,0.692,2025,2025,2025,USER EXP DESIGNER,3,USER EXP DESIGNER,3,claude
VIS ASST PROJ SCIENTIST,ASST PROJ SCIENTIST-FY,other,low,36,0.319,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024,2025,2012,VIS PROJ SCIENTIST,1,PROJ SCIENTIST-FY,1,claude
ANESTHESIA TECHNICIAN II,ANESTHESIA TCHN 2,rename,high,35,0.897,2012,2011,2012,ANESTHESIA TECHNICIAN,2,ANESTHESIA TCHN,2,claude
ASST AGRON AES-AY,ASST PROF-AY,other,low,35,0.443,2017|2018|2022|2023|2024|2025,2025,2012,AGRON AES-AY,1,PROF-AY,1,claude
CHIEF RESID PHYS-REP,RESID PHYS II-VIII/REP,other,low,35,0.368,2021|2023|2024|2025,2025,2012,CHIEF RESID PHYS,1,RESID PHYS II,8,claude
CLIN NURSE 5,NURSE PRACT 2,other,low,35,0.212,2016|2017|2018|2019|2021,2022,2016,CLIN NURSE,5,NURSE PRACT,2,claude
COMPUTER NETWORK TCHNO 2,COMPUTER NETWORK TCHNO 3,promotion,high,35,0.583,2013|2014|2015|2016|2017|2018,2018,2012,COMPUTER NETWORK TCHNO,2,COMPUTER NETWORK TCHNO,3,claude
COOK SR,CHEF 2,other,low,35,0.321,2018|2019|2020|2021|2022|2023|2024|2025,2025,2010,COOK,2,CHEF,2,claude
CTRL SVC TCHN 1 PD,CTRL SVC TCHN 1,variant,high,35,0.354,2013|2014|2015|2016|2017|2020|2021|2022|2024|2025,2025,2012,CTRL SVC TCHN,1,CTRL SVC TCHN,1,claude
DIR AST,DIR,promotion,medium,35,0.126,2013|2014|2015|2016|2017|2018|2020|2021,2024,2012,DIR,0,DIR,1,claude
HOSP LAB TCHN 3,HOSP LAB TCHN 4,promotion,high,35,0.321,2014|2015|2017|2018|2019|2020|2022|2023|2024|2025,2025,2012,HOSP LAB TCHN,3,HOSP LAB TCHN,4,claude
INTRM POSTDOC SCHOLAR-EMPLOYEE,POSTDOC-EMPLOYEE,other,low,35,0.729,2018|2019|2020|2021|2022|2023|2024|2025,2025,2010,INTRM POSTDOC SCHOLAR-EMPLOYEE,1,POSTDOC-EMPLOYEE,1,claude
LECT-AY-1/9-CONTINUING,LECT IN SUMMER SESSION,other,low,35,0.238,2013|2014|2016|2017|2018|2019|2021|2022|2023|2024|2025,2025,2012,LECT-AY,2,LECT IN SUMMER SESSION,1,claude
LECTURER-PSOE-ACAD YR-100%,LECT PSOE-AY-100%,rename,high,35,0.795,2012,2011,2012,LECTURER-PSOE-ACAD YR-100%,1,PROF OF TEACH-AY,1,claude
"MECHANICIAN, LAB, SR",LAB MECHN SR,rename,high,35,0.972,2012,2011,2012,"MECHANICIAN, LAB",2,LAB MECHN,2,claude
MUSEUM SCI AST,MUSEUM SCI,promotion,high,35,0.648,2013|2014|2015|2016|2017|2018|2020|2021|2023|2024|2025,2025,2012,MUSEUM SCI,0,MUSEUM SCI,1,claude
"NURSE, CLINICAL III-SUPVR",CLIN NURSE SUPV 3 NEX,rename,high,35,0.625,2012,2011,2012,"NURSE, CLINICAL-SUPVR",3,CLIN NURSE SUPV,3,claude
OR SUPPORT ASSISTANT,OPERATING ROOM SUPP AST,rename,high,35,0.972,2012,2011,2012,OR SUPPORT ASSISTANT,1,OPERATING ROOM SUPP,0,claude
PAT NAVIGATOR 2,PAT NAVGTR NON-CLIN 2,rename,high,35,0.946,2017,2016,2017,PAT NAVIGATOR,2,PAT NAVGTR NON-CLIN,2,claude
PGY1 POST PHARMD TRAINEE,STF PHARMACIST 2,other,low,35,0.252,2022|2023|2024|2025,2025,2016,PGY1 POST PHARMD TRAINEE,1,STF PHARMACIST,2,claude
PHYS THER 2 EX,PHYS THER 3 EX,promotion,high,35,0.7,2013|2014|2015|2016|2017|2018|2019|2021|2022|2023|2024|2025,2025,2012,PHYS THER,2,PHYS THER,3,claude
POLICE OFCR 1,POLICE OFCR,lateral,medium,35,0.972,2017|2019|2020|2021|2022|2023|2024|2025,2025,2012,POLICE OFCR,1,POLICE OFCR,1,claude
PROG COORD,TEACHER-UNEX-CONTRACT YR,other,low,35,0.565,2013|2014|2015|2016|2017|2018|2019|2021|2022,2025,2012,PROG COORD,1,TEACHER-UNEX-CONTRACT YR,1,claude
PROGR 3,PROGR 4,promotion,high,35,0.213,2013|2014|2015|2016|2017,2018,2012,PROGR,3,PROGR,4,claude
PROGRAMMER VII,PROGR 7,rename,high,35,0.897,2012,2011,2012,PROGRAMMER,7,PROGR,7,claude
PROJECT/POLICY ANALYST 2,PROJECT POLICY ANL 2,rename,high,35,0.778,2012,2011,2012,PROJECT/POLICY ANALYST,2,PROJECT POLICY ANL,2,claude
PROSPECT RSCH SPEC 3,PROSPECT DEV SPEC 3,rename,high,35,0.686,2025,2024,2025,PROSPECT RSCH SPEC,3,PROSPECT DEV SPEC,3,claude
R&D ENGINEER 3,RSCH AND DEV ENGR 3,rename,high,35,0.897,2012,2011,2012,R&D ENGINEER,3,RSCH AND DEV ENGR,3,claude
RECALL NON-FACULTY ACAD,RECALL TEACHING,other,low,35,0.125,2014|2015|2016|2017|2018|2019|2020|2021|2024|2025,2025,2014,RECALL NON-FACULTY ACAD,1,RECALL TEACHING,1,claude
RESOURCES SUPERVISOR,SUPV,rename,high,35,0.854,2013,2012,2013,RESOURCES SUPERVISOR,3,SUPV,1,claude
STERILE PROCESSING TCHN 2 PD,STERILE PROCESSING TCHN 2,variant,high,35,0.778,2014|2017|2018|2021|2023|2024|2025,2025,2012,STERILE PROCESSING TCHN,2,STERILE PROCESSING TCHN,2,claude
STUDENT AFF OFF II-SUPERVISING,STDT AFFAIRS OFCR 2 SUPV,rename,high,35,0.522,2012,2011,2012,STUDENT AFF OFF II-SUPERVISING,1,STDT AFFAIRS OFCR SUPV,2,claude
"TECHNICIAN, ELECTRONICS",ELECTR TCHN,rename,high,35,0.946,2012,2011,2012,"TECHNICIAN, ELECTRONICS",1,ELECTR TCHN,1,claude
ACCOUNTANT 2 EX,GEN ACCOUNTANT 3,other,low,34,0.224,2014|2016|2017|2018|2021|2024,2023,2014,ACCOUNTANT,2,GEN ACCOUNTANT,3,claude
ACCOUNTANT II,ACCOUNTANT 2,rename,medium,34,0.324,2012,2011,2012,ACCOUNTANT,2,ACCOUNTANT,2,claude
ADJ INSTR-HCOMP,ASSOC ADJ PROF-HCOMP,promotion,medium,34,0.146,2015|2016|2017|2019|2020|2021|2022|2023|2024|2025,2025,2012,ADJ PROF-HCOMP,0,ADJ PROF-HCOMP,2,claude
ANALYST VI-SUPERVISOR,ANL 6 SUPV,rename,high,34,0.773,2012,2011,2012,ANALYST-SUPERVISOR,6,ANL SUPV,6,claude
ASOC PROJECT____-FY-B/ECON/ENG,ASSOC PROJ SCIENTIST-FY-B/E/E,rename,high,34,0.85,2012,2011,2012,ASOC PROJECT____-FY-B/ECON/ENG,1,PROJ SCIENTIST-FY-B/E/E,2,claude
ASSISTANT PROF IN RES-HCOMP,ASSOCIATE PROF IN RES-HCOMP,promotion,medium,34,0.105,2011,2011,2010,PROF IN RES-HCOMP,1,PROF IN RES-HCOMP,2,claude
ASSOCIATE PROF IN RES-HCOMP,PROF IN RES-HCOMP,promotion,medium,34,0.128,2012,2011,2012,PROF IN RES-HCOMP,2,PROF IN RES-HCOMP,3,claude
ASST AGRON AES-AY,ASSOC AGRON AES-AY,promotion,high,34,0.43,2014|2015|2016|2017|2022|2023|2024|2025,2025,2012,AGRON AES-AY,1,AGRON AES-AY,2,claude
BLDG MAINT WORKER SR,BLDG MAINT WORKER LD,promotion,medium,34,0.17,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,BLDG MAINT WORKER,2,BLDG MAINT WORKER,3,claude
BUS TCHL SUPP ANL 2,BUS TCHL SUPP ANL 3,promotion,medium,34,0.095,2013|2014|2015|2016|2017|2018|2019,2025,2012,BUS TCHL SUPP ANL,2,BUS TCHL SUPP ANL,3,claude
COOK PRN,CHEF 2,other,low,34,0.447,2017|2018|2021,2021,2010,COOK,3,CHEF,2,claude
CUSTODIAN SR SUPV,CUSTODIAL SUPV 1,rename,high,34,0.68,2014|2016|2017|2021,2020,2012,CUSTODIAN SR SUPV,1,CUSTODIAL SUPV,1,claude
FINANCIAL ANALYST 4,FINANCIAL ANL 4,rename,high,34,0.872,2012,2011,2012,FINANCIAL ANALYST,4,FINANCIAL ANL,4,claude
"FOOD SERVICE SUPV, PRIN",FOOD SVC SUPV PRN,rename,high,34,0.829,2012,2011,2012,FOOD SERVICE SUPV,3,FOOD SVC SUPV,3,claude
HEALTH PROFNS EDUC SPEC 4,HEALTH PROFNS EDUC SPEC 4 CX,variant,high,34,0.557,2025,2025,2025,HEALTH PROFNS EDUC SPEC,4,HEALTH PROFNS EDUC SPEC,4,claude
HOSP AST PD,CLIN NURSE 2,other,low,34,0.215,2014|2015|2016|2018|2019|2021|2022|2023|2024|2025,2025,2012,HOSP,0,CLIN NURSE,2,claude
HS ASST CLIN PROFESSOR-ACAD YR,HS ASST CLIN PROF-AY,rename,high,34,0.895,2012,2011,2012,HS CLIN PROFESSOR-ACAD YR,1,HS CLIN PROF-AY,1,claude
INFO SYS MGR 1,INFO SYS MGR 2,promotion,high,34,0.453,2013|2015|2016|2017|2019|2021|2022|2023|2024|2025,2025,2012,INFO SYS MGR,1,INFO SYS MGR,2,claude
LECTURER-MISC/PART-TIME,LECT-MISCELLANEOUS/PART TIME,rename,medium,34,0.43,2012,2011,2012,LECTURER-MISC/PART-TIME,1,LECT-MISCELLANEOUS/PART TIME,1,claude
LIBRARIAN-CAREER STATUS,ADMIN STIPEND,other,low,34,0.274,2018,2025,2012,LIBRARIAN-CAREER STATUS,3,ADMIN STIPEND,1,claude
MISCELLANEOUS,JR SPECIALIST,other,low,34,0.128,2014|2019,2025,2012,MISCELLANEOUS,1,SPECIALIST,0,claude
MRI TCHNO PD,MRI TCHNO,variant,high,34,0.54,2013|2014|2015|2016|2017|2019|2021|2022|2023|2024|2025,2025,2012,MRI TCHNO,1,MRI TCHNO,1,claude
NURSE AID SR,NURSE AID SR PD,variant,high,34,0.321,2014|2016|2017|2018|2019|2021|2022|2023|2024|2025,2025,2012,NURSE AID,2,NURSE AID,2,claude
NURSE COORDINATOR,NURSE CRD,rename,high,34,0.944,2012,2011,2012,NURSE COORDINATOR,1,NURSE CRD,1,claude
PAT CARE AST,HOSP UNIT SVC CRD 3,other,low,34,0.228,2017|2019|2020|2021|2022|2023|2024|2025,2025,2012,PAT CARE,0,HOSP UNIT SVC CRD,3,claude
PHARMACIST SPEC,PHARMACIST 5,rename,high,34,0.773,2017|2018|2019|2020|2021,2020,2017,PHARMACIST SPEC,1,PHARMACIST,5,claude
QLTY IMPV HC SPEC 3,QLTY IMPV HC SPEC 3 HX,variant,high,34,0.576,2025,2025,2025,QLTY IMPV HC SPEC,3,QLTY IMPV HC SPEC,3,claude
RESIDENT DIRECTOR I,RSDT DIR 1,rename,high,34,0.829,2012,2011,2012,RESIDENT DIRECTOR,1,RSDT DIR,1,claude
"SCIENTIST, MUSEUM, PRIN",MUSEUM SCI PRN,rename,high,34,0.971,2012,2011,2012,"SCIENTIST, MUSEUM",3,MUSEUM SCI,3,claude
"SCIENTIST,CLIN LAB,SUPERVISING",CLIN LAB SCI SUPV EX,rename,medium,34,0.472,2012,2011,2012,"SCIENTIST,CLIN LAB,SUPERVISING",1,CLIN LAB SCI SUPV,1,claude
STF PHARMACIST 2,PHARMACIST 5,other,low,34,0.179,2017|2018|2019|2020|2021|2022|2023|2025,2025,2017,STF PHARMACIST,2,PHARMACIST,5,claude
"STUDENT ASSISTANT II, NON UC",STDT 2 NON UC,rename,high,34,0.895,2012,2011,2012,"STUDENT ASSISTANT II,",1,STDT,2,claude
SUPV TEACHER ED-AY,SUPV TEACHER ED-AY-CONTINUING,other,low,34,0.447,2014|2015|2016|2017|2021|2022|2023|2024|2025,2025,2012,SUPV TEACHER ED-AY,1,SUPV TEACHER ED-AY-CONTINUING,1,claude
TUT-NON STDNT,LECT-AY,other,low,34,0.179,2015|2016|2017|2018|2019|2021|2022|2023|2024|2025,2025,2012,TUT-NON STDNT,1,LECT-AY,1,claude
ADMIN SPECIALIST I - SUPVR,ADMIN SPEC 1 SUPV,rename,high,33,0.825,2012,2011,2012,ADMIN SPECIALIST - SUPVR,1,ADMIN SPEC SUPV,1,claude
ADMIN STIPEND,PROF-AY-B/E/E,other,low,33,0.131,2019|2020,2025,2012,ADMIN STIPEND,1,PROF-AY-B/E/E,3,claude
ALUMNI EXTERNAL REL SPEC 2,ALUMNI EXTERNAL REL SPEC 3,promotion,high,33,0.398,2017|2020|2021|2022|2023|2024|2025,2025,2016,ALUMNI EXTERNAL REL SPEC,2,ALUMNI EXTERNAL REL SPEC,3,claude
ANALYST VI - SUPVR - MSP,ANL 6 SUPV MSP,rename,high,33,0.786,2012,2011,2012,ANALYST VI - SUPVR -,1,ANL SUPV,6,claude
ANL 6,CLIN APPLICATIONS PROFL 3,other,low,33,0.14,2016|2017,2025,2015,ANL,6,CLIN APPLICATIONS PROFL,3,claude
BIOMED EQUIP TCHN 1,BIOMED EQUIP TCHN 2,promotion,high,33,0.971,2013|2014|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,BIOMED EQUIP TCHN,1,BIOMED EQUIP TCHN,2,claude
BLANK AST 3 SUPV,BLANK AST 3,other,low,33,0.11,2013|2014|2015|2016|2017|2018|2021|2022|2024|2025,2024,2012,BLANK AST SUPV,3,BLANK AST,3,claude
BUS SYS ANL 4,BUS SYS ANL 5,promotion,high,33,0.216,2014|2015|2019|2020|2021|2022|2023|2024|2025,2025,2012,BUS SYS ANL,4,BUS SYS ANL,5,claude
CASE MGR EX,CASE MGR PD,variant,high,33,0.132,2013|2014|2015|2016|2017|2019|2020|2021|2022|2023|2025,2025,2012,CASE MGR,1,CASE MGR,1,claude
CHIEF RESID PHYS-NON REP,CHIEF RESID PHYS-REP,variant,high,33,0.402,2022,2023,2014,CHIEF RESID PHYS,1,CHIEF RESID PHYS,1,claude
CLIN SOCIAL WORKER 2,CLIN SOCIAL WORKER 2 CEH,variant,high,33,0.075,2025,2025,2025,CLIN SOCIAL WORKER,2,CLIN SOCIAL WORKER,2,claude
DEV ENGR AST,DEV ENGR ASC,other,low,33,0.32,2013|2014|2015|2016|2017|2018|2019|2020,2021,2012,DEV ENGR,0,DEV ENGR ASC,1,claude
EMERGENCY TRAUMA TCHN,EMERGENCY TRAUMA TCHN PD,variant,high,33,0.208,2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,EMERGENCY TRAUMA TCHN,1,EMERGENCY TRAUMA TCHN,1,claude
FOOD SVC WORKER LD,FOOD SVC MGR AST,other,low,33,0.142,2015|2016|2017|2018|2019|2022|2023|2024|2025,2025,2012,FOOD SVC WORKER,3,FOOD SVC MGR,0,claude
HOSP LAB TCHN 2 PD,HOSP LAB TCHN 2,variant,high,33,0.611,2015|2016|2018|2019|2021|2022|2023|2024|2025,2025,2012,HOSP LAB TCHN,2,HOSP LAB TCHN,2,claude
HS ASST CLIN PROF-FY,ADDL COMP-HGH&OLIVE VIEW MCS,other,low,33,0.122,2013|2016|2018|2019,2025,2010,HS CLIN PROF-FY,1,ADDL COMP-HGH&OLIVE VIEW MCS,1,claude
